"","animals_name","number_of_pets","name_length"
"122","Agori",1,5
"123","Ah-J huynh",1,10
"124","Ahi",1,3
"125","Ahkeela",1,7
"126","Ahmolia",1,7
"127","Ahnah",1,5
"128","Ahni",1,4
"129","Ahoo",1,4
"130","Ahri",1,4
"131","Ahsoka",3,6
"132","Aida",3,4
"133","Aidan",1,5
"134","Aiden",5,5
"135","AIDEN",1,5
"136","Aiko",6,4
"137","Aila",1,4
"138","Ailsa",1,5
"139","Aimee",3,5
"140","Ainsley",3,7
"141","Airplane",1,8
"142","Aiyana (Cheech)",1,15
"143","AJ",2,2
"144","AJ Gray",1,7
"145","Aja",1,3
"146","Ajax",14,4
"147","Aji",1,3
"148","Akamia",1,6
"149","Akari",2,5
"150","Akasha",1,6
"151","Akeena",1,6
"152","Akela",3,5
"153","Aki",10,3
"154","Akiko",1,5
"155","Akilles",1,7
"156","Akimbo",1,6
"157","Akio",1,4
"158","Akira",7,5
"159","Akira Jones",1,11
"160","Akiva",1,5
"161","Ako",1,3
"162","Akona Rose",1,10
"163","Aksel",2,5
"164","Akshay",1,6
"165","Aku",2,3
"166","Al",1,2
"167","Al Poochino",1,11
"168","Alabama",1,7
"169","Alan",1,4
"170","Alani",1,5
"171","Alaska",3,6
"172","ALASTOR",1,7
"173","Alba",2,4
"174","Albe",1,4
"175","Albee",1,5
"176","Albert",16,6
"177","Alberta",1,7
"178","Alberto",1,7
"179","Albi",1,4
"180","Albie",4,5
"181","Albuquerque",1,11
"182","Albus",6,5
"183","Alby",1,4
"184","Alder",1,5
"185","Aldo",2,4
"186","Aldwyn",1,6
"187","Aleister",2,8
"188","Alejandro",3,9
"189","Aleph",1,5
"190","Aleser",1,6
"191","Alesia",1,6
"192","Alessandra",1,10
"193","Aleu",1,4
"194","Aleutian",1,8
"195","Alex",20,4
"196","Alex Gale",1,9
"197","Alexa",4,5
"198","Alexa (Lexi) Bleakley",1,21
"199","Alexandar",1,9
"200","Alexander",9,9
"201","Alexander Cervantes",1,19
"202","Alexander Hamilton",1,18
"203","Alexandra",3,9
"204","Alexei",1,6
"205","Alexi",2,5
"206","Alexiah",1,7
"207","Alexis",2,6
"208","Alexus",1,6
"209","Alf",1,3
"210","Alfafalfa",1,9
"211","Alfalfa",2,7
"212","Alfia",1,5
"213","Alfie",23,5
"214","Alfred",3,6
"215","Alfredo",3,7
"216","Alfredo (Al)",1,12
"217","Alfy",1,4
"218","Ali",8,3
"219","Ali (Alejandra Beyonce The Great)",1,33
"220","Ali-Mo",1,6
"221","Alia",1,4
"222","Alibi",1,5
"223","Alice",39,5
"224","Alice B",1,7
"225","Alice Cooper",1,12
"226","Alice in Wonderland",1,19
"227","Alicia",1,6
"228","Alicia Grace",1,12
"229","Alicia Keys",1,11
"230","Alien",1,5
"231","Alisa",1,5
"232","Alisse",1,6
"233","Alistair",3,8
"234","Alister",2,7
"235","Alive",1,5
"236","Aliyah",2,6
"237","Alki",8,4
"238","Alki Jack",1,9
"239","All Ball",1,8
"240","Allegro",3,7
"241","Allen",1,5
"242","Allen Drake",1,11
"243","Alley",5,5
"244","Alley Cat",2,9
"245","Alley Kat",1,9
"246","Alli",4,4
"247","Allie",28,5
"248","Allie Cat",1,9
"249","Allie Cuchanelli",1,16
"250","Allie Kat",1,9
"251","Allii",1,5
"252","Allison",2,7
"253","Allwunwerd",1,10
"254","Ally",12,4
"255","Ally Sheedy",1,11
"256","Alma",5,4
"257","Alma Jean",1,9
"258","Almanzo",1,7
"259","Almond",1,6
"260","Alopecia",1,8
"261","Aloysius",1,8
"262","Alpha",1,5
"263","Alphie",1,6
"264","Alphonse",1,8
"265","Alpina",1,6
"266","Alpine",2,6
"267","Alsatia",1,7
"268","Alse",1,4
"269","Alsea",1,5
"270","Alska",1,5
"271","Altaira",1,7
"272","Althea",1,6
"273","Alto",1,4
"274","Alucard",1,7
"275","Alula",1,5
"276","Alura Hope (Allie)",1,18
"277","Alvin",6,5
"278","Alvina",1,6
"279","Alvy",2,4
"280","Aly",1,3
"281","Alyce",1,5
"282","Alyeska",1,7
"283","Alyssa",1,6
"284","Alyx",1,4
"285","Alyzée",1,6
"286","Amadeus",1,7
"287","Amai Kokoro",1,11
"288","Amako",1,5
"289","Amalfi",1,6
"290","Amanda",1,6
"291","Amar",1,4
"292","Amara",1,5
"293","Amaretto",1,8
"294","Amari",1,5
"295","Amarok",1,6
"296","Amaya",1,5
"297","Amazing Bella Von Weiss",1,23
"298","Amber",14,5
"299","Ambrosia",2,8
"300","Ameera",1,6
"301","Amelia",9,6
"302","Amelie",8,6
"303","Amendoim",1,8
"304","America",1,7
"305","Amethyst",1,8
"306","Amexia",1,6
"307","Ami",1,3
"308","Ami Lion",1,8
"309","Amie",2,4
"310","Amigo",2,5
"311","Amina Bean",1,10
"312","Amira",1,5
"313","Ammie",1,5
"314","Amora",1,5
"315","Amos",5,4
"316","Ampersand",1,9
"317","Amurd",1,5
"318","Amy",11,3
"319","Ana",4,3
"320","Anabelle",2,8
"321","Anabeth",1,7
"322","Anahata",1,7
"323","Anai",1,4
"324","Anaja",1,5
"325","Anakin",7,6
"326","Anamarie",1,8
"327","Anana",2,5
"328","Anastasia",5,9
"329","Anastasia Kalashnakitty",1,23
"330","Anastasia Mew Flecktarn",1,23
"331","Anchor",1,6
"332","Anchovy",1,7
"333","Andalucia",1,9
"334","Andante",1,7
"335","Anders",1,6
"336","Anderson",1,8
"337","Andi",3,4
"338","Andie",1,5
"339","Ando",3,4
"340","Andouille",1,9
"341","Andre",6,5
"342","Andre the Giant",1,15
"343","Andrea",2,6
"344","Andrew",1,6
"345","Andromeda",4,9
"346","Andy",23,4
"347","Andy Pants",1,10
"348","Aneira",1,6
"349","Angel",51,5
"350","Angela",2,6
"351","Angelica",1,8
"352","Angelina",4,8
"353","Angelique",1,9
"354","Angelita",1,8
"355","Angelo",3,6
"356","Anghus",1,6
"357","Angie",7,5
"358","Angus",23,5
"359","ANGUS DeJong",1,12
"360","Angus Leroy",1,11
"361","Ani",3,3
"362","Anikan",1,6
"363","Animal",2,6
"364","Anini",1,5
"365","Anise",1,5
"366","Anisette",1,8
"367","Anita",1,5
"368","Anja",2,4
"369","Anjan",1,5
"370","Anka",1,4
"371","Ann",1,3
"372","anna",1,4
"373","Anna",13,4
"374","Anna Beans",1,10
"375","Anna Belle",1,10
"376","Annabel",1,7
"377","Annabell",1,8
"378","Annabella",3,9
"379","Annabelle",32,9
"380","AnnaBelle",2,9
"381","Annabelle/ Tiny",1,15
"382","Annalise",2,8
"383","Annapurna",2,9
"384","Annar",1,5
"385","Annastasia",1,10
"386","Anni Frida",1,10
"387","Annie",92,5
"388","Annie  (Tabby)",1,14
"389","Annie (Felicia)",1,15
"390","Annie Bulis",1,11
"391","Annie Garcia",1,12
"392","Annie Inman",1,11
"393","Annie Li-Morrill",1,16
"394","Annie Oakley",2,12
"395","Annie Yodalei",1,13
"396","Annietoo",1,8
"397","Annika",1,6
"398","Annistacia",1,10
"399","Anouk",1,5
"400","Anthony",3,7
"401","Antny",1,5
"402","Anton",1,5
"403","Antoneo",1,7
"404","Antonia",1,7
"405","Anu",1,3
"406","Anubis",5,6
"407","Anushka",1,7
"408","Anya",7,4
"409","Anya Elizabeth",1,14
"410","Anyanka",1,7
"411","Aoife",1,5
"412","Apache",3,6
"413","Aphrodite",1,9
"414","Apollo",52,6
"415","Apollo ""Paulo""",1,14
"416","Apollo (Polly)",1,14
"417","Apollo Creed",1,12
"418","Apollo O'No",1,11
"419","Apollonia",1,9
"420","Apolo Ono",1,9
"421","Appa",3,4
"422","Apple",9,5
"423","Apple Fritter",1,13
"424","Aprea",1,5
"425","Apricat",1,7
"426","Apricot",3,7
"427","April",7,5
"428","Apu",1,3
"429","Aqua Girl",1,9
"430","Aqua Man",1,8
"431","Ara",2,3
"432","Arabella",3,8
"433","Arabelle",1,8
"434","Aragon",1,6
"435","Aragorn",1,7
"436","Araminta",1,8
"437","Aranyos Tunder",1,14
"438","Araya",1,5
"439","Arbo",1,4
"440","Arbor",2,5
"441","Archer",23,6
"442","Archibald",2,9
"443","Archibald Wu Weaver",1,19
"444","Archie",67,6
"445","Archie (fka Rin)",1,16
"446","Archie McFee Dillon-Wiest",1,25
"447","Archie Michela",1,14
"448","Archimedes",2,10
"449","Arctic",1,6
"450","Arcturus",1,8
"451","Ardie",1,5
"452","Ares",1,4
"453","Aretha",1,6
"454","Arf",1,3
"455","Argo",3,4
"456","Argos",7,5
"457","Argus",3,5
"458","Argus ""Gus""",1,11
"459","Argus Schwinn Bacher",1,20
"460","Argyle",1,6
"461","Ari",14,3
"462","Ari Bachman",1,11
"463","Ari Bandit",1,10
"464","Aria",8,4
"465","Aria Zhang",1,10
"466","Arial",1,5
"467","Ariana",2,6
"468","Arianna",1,7
"469","Arie",2,4
"470","Ariel",13,5
"471","Ariel Hobart Joseph",1,19
"472","Ariel Serena Mutt Digges",1,24
"473","Aries",6,5
"474","Arizona",1,7
"475","Arjun",1,5
"476","Arlan",1,5
"477","Arlie",1,5
"478","Arlington",1,9
"479","Arlo",31,4
"480","Arlo Liptrap",1,12
"481","Arlo Vander Bear Likkel",1,23
"482","Armani",1,6
"483","Armi",1,4
"484","Arne",1,4
"485","Arnie",6,5
"486","Arnie Palmer",1,12
"487","Arnold",7,6
"488","Arrakis",1,7
"489","Arrayah",1,7
"490","Arri",1,4
"491","Arriba",1,6
"492","Arrietty",1,8
"493","Arrow",10,5
"494","Arry Potter Warren",1,18
"495","Arry Underfoot",1,14
"496","Arshile",1,7
"497","Art",1,3
"498","Art Deco",1,8
"499","Artemis",26,7
"500","Artemis (Missy)",1,15
"501","Artemis Winter",1,14
"502","Arthur",20,6
"503","Artie",7,5
"504","Artoo",1,5
"505","Artoo Dogtoo",1,12
"506","Arugula",1,7
"507","Arusha",1,6
"508","Arvid",1,5
"509","Arvo",1,4
"510","Arwen",1,5
"511","Ary",1,3
"512","Arya",18,4
"513","Aryae",1,5
"514","Asa",5,3
"515","Asali",1,5
"516","Asami",1,5
"517","Asche",2,5
"518","Asesina",1,7
"519","Ash",19,3
"520","Asha",7,4
"521","Ashanti",1,7
"522","Ashby",1,5
"523","Ashe",3,4
"524","Asher",10,5
"525","Ashey",1,5
"526","Ashia",1,5
"527","Ashki",1,5
"528","Ashley",17,6
"529","Ashlin",1,6
"530","Ashton",2,6
"531","Asia",11,4
"532","Asimov",1,6
"533","Askja",1,5
"534","askr (oscar)",1,12
"535","Aslan",10,5
"536","Asohka",1,6
"537","Asp",1,3
"538","AsparaGus",1,9
"539","Aspen",7,5
"540","Aspin",1,5
"541","Aspyn",1,5
"542","Asta",4,4
"543","Aster",4,5
"544","Aster Nácre",1,11
"545","Asteria",1,7
"546","Asti",1,4
"547","Aston",2,5
"548","Astor",1,5
"549","Astra",2,5
"550","Astrid",6,6
"551","Astro",12,5
"552","Asuka",1,5
"553","Atan",1,4
"554","Atari",3,5
"555","Atena",1,5
"556","Athena",38,6
"557","Athene",1,6
"558","Athenia",1,7
"559","Athens",1,6
"560","Atlantis",1,8
"561","Atlas",30,5
"562","Atlee",1,5
"563","Atom",3,4
"564","Atomita",1,7
"565","Atosha",1,6
"566","Atticus",20,7
"567","Atticus Finch",2,13
"568","Attie",3,5
"569","Attila",1,6
"570","Attis",1,5
"571","Attlee",1,6
"572","Atty",1,4
"573","Atwood",1,6
"574","Aubrie",1,6
"575","Aubry",1,5
"576","Audi",2,4
"577","Audie",2,5
"578","Audobon",1,7
"579","Audra",1,5
"580","Audrey",15,6
"581","Auggie",18,6
"582","Augie",15,5
"583","August",5,6
"584","August Nelson",1,13
"585","August Sunshine",1,15
"586","Augusta",3,7
"587","Augusta (aka Gussie)",1,20
"588","Augustus",7,8
"589","Augustus rodin",1,14
"590","Augy",1,4
"591","Aully",1,5
"592","Auntie",1,6
"593","Aura",1,4
"594","Auri",2,4
"595","Aurochs",1,7
"596","Aurora",12,6
"597","Aurora Borealis Rushin",1,22
"598","Aurora Joy",1,10
"599","Aussie",5,6
"600","Austen",1,6
"601","Austin",10,6
"602","Aute",1,4
"603","Auto",1,4
"604","Autumn",11,6
"605","Autzen",1,6
"606","Auzzie",1,6
"607","Ava",33,3
"608","Ava Belle",1,9
"609","Ava Simone",1,10
"610","Avadax",1,6
"611","Avalanche",1,9
"612","Avalon",2,6
"613","Avana",1,5
"614","Aven",1,4
"615","Avery",10,5
"616","Avett",1,5
"617","Avi",2,3
"618","Avie",1,4
"619","Avin",1,4
"620","Avishay",1,7
"621","Aviva",1,5
"622","Avocado",2,7
"623","Avon",2,4
"624","Avu",1,3
"625","Awsee",1,5
"626","Awsoo",1,5
"627","Ax",1,2
"628","Axel",14,4
"629","Axel Rose",1,9
"630","Axiom",1,5
"631","Axis",1,4
"632","Axl",1,3
"633","Axl Rose",1,8
"634","Axle",1,4
"635","Aya",3,3
"636","Aya Sofya",1,9
"637","Ayda",1,4
"638","Ayden",2,5
"639","Ayla",5,4
"640","Aza",1,3
"641","Azalea",2,6
"642","Azi",1,3
"643","Azimuth",1,7
"644","Azuki",1,5
"645","Azul",3,4
"646","Azul Brothers",1,13
"647","Azula",2,5
"648","Azura",1,5
"649","Azzu",1,4
"650","B",3,1
"651","B.B.",2,4
"652","B.C.",2,4
"653","b/w",1,3
"654","B&W",1,3
"655","Baagi",1,5
"656","Babaganoush",1,11
"657","Babar",1,5
"658","Babe",2,4
"659","Babee",1,5
"660","Babes",1,5
"661","Babette",7,7
"662","Babidi",1,6
"663","Babka",2,5
"664","Baboo",1,5
"665","Babs",2,4
"666","Babu",2,4
"667","Babu Kitty",1,10
"668","Babushka",1,8
"669","Baby",41,4
"670","Baby Bear",1,9
"671","BABY BLANCHE",1,12
"672","Baby Boy",1,8
"673","Baby Cakes",4,10
"674","Baby Cat",1,8
"675","Baby Coco",1,9
"676","Baby Dame",1,9
"677","Baby Duece",1,10
"678","baby girl",1,9
"679","Baby Girl",10,9
"680","Baby Girl Kit",1,13
"681","Baby Gray",1,9
"682","Baby Huey",1,9
"683","baby kate",1,9
"684","Baby kitty",1,10
"685","Baby Orange",1,11
"686","Baby Snow",1,9
"687","Baby Tiger",1,10
"688","Babybell",1,8
"689","Babycat",1,7
"690","BabyG",1,5
"691","Bacall",1,6
"692","Bacchus",4,7
"693","Baci",4,4
"694","Baci Sciore",1,11
"695","Bacio",1,5
"696","Bacon",11,5
"697","Baddy",1,5
"698","Bader",2,5
"699","Badger",8,6
"700","Badri",1,5
"701","Badu",1,4
"702","Bae Lee",1,7
"703","Bafie",1,5
"704","Bagel",4,5
"705","Bagels",3,6
"706","Baggy",1,5
"707","Bagha",2,5
"708","Bagheera",4,8
"709","Bagira",2,6
"710","Baguette",1,8
"711","Bahama Mama",1,11
"712","Baie",1,4
"713","Baikal",1,6
"714","Bailee",2,6
"715","Bailey",157,6
"716","Bailey Acosta",1,13
"717","Bailey Anna",1,11
"718","Bailey Bea",1,10
"719","Bailey Brown Dog",1,16
"720","Bailey Jahn",1,11
"721","Bailey McGrady",1,14
"722","Bailey Reese",1,12
"723","Bailey Rose",1,11
"724","Bailey Smith",1,12
"725","Bailey Stevens",1,14
"726","Bailey Wellman",1,14
"727","Bailie",3,6
"728","Baily",2,5
"729","Baizel",1,6
"730","Baker",36,5
"731","Baker Fabian Will",1,17
"732","Baker Hartig",1,12
"733","Baker Tate",1,10
"734","Balam",1,5
"735","Baldr",2,5
"736","Baldur",3,6
"737","Baldwin",3,7
"738","Balestra Princess of Alderan",1,28
"739","Baley",1,5
"740","Bali",4,4
"741","Bali B",1,6
"742","Balin",1,5
"743","Ball Ball",1,9
"744","Ballard",3,7
"745","Ballou",1,6
"746","Ballyhoo",1,8
"747","Baloo",13,5
"748","Balou",1,5
"749","Balthazar",1,9
"750","Balto",2,5
"751","Balzac",1,6
"752","Bam",2,3
"753","Bam Bam",3,7
"754","Bama",1,4
"755","Bambam",2,6
"756","BamBam",2,6
"757","Bambi",8,5
"758","Bambi Dogzilla",1,14
"759","Bambina",1,7
"760","Bambino",1,7
"761","Bamboo",3,6
"762","Bambu",1,5
"763","Bamm-Bamm",1,9
"764","Bamse",1,5
"765","Banana",4,6
"766","Banana Bread",1,12
"767","Banana Kitty",1,12
"768","Bandersnatch",1,12
"769","Bandi",2,5
"770","Bandit",65,6
"771","Bandit Hood",1,11
"772","Bandito",3,7
"773","Bandon",1,6
"774","Bandy",1,5
"775","Bandytka",1,8
"776","Bane",1,4
"777","Bangsi",1,6
"778","Banjo",17,5
"779","Banjo Jostol",1,12
"780","Banjo Kazooie McDonald",1,22
"781","Banks",2,5
"782","Banksy",4,6
"783","Banquo",1,6
"784","Banshee",1,7
"785","Banzai",3,6
"786","Banze",1,5
"787","Bao",1,3
"788","Barack",1,6
"789","Barack Omid Duke",1,16
"790","Barb",1,4
"791","Barbara",1,7
"792","Barbarella",1,10
"793","Barbie",2,6
"794","Barca",1,5
"795","Barcelona",1,9
"796","Barclay",2,7
"797","Barclay Biscuit Bruemmer",1,24
"798","Bardi",1,5
"799","Bare",1,4
"800","Barfi",1,5
"801","Barkker",1,7
"802","Barkley",22,7
"803","Barkley The Dog",1,15
"804","Barlee",2,6
"805","Barley",30,6
"806","Barley Taylor",1,13
"807","Barlow Spetla",1,13
"808","Barnabas",1,8
"809","Barnabas Collins",1,16
"810","Barnabus",1,8
"811","Barnaby",4,7
"812","Barnacle",3,8
"813","Barney",28,6
"814","Barnum",1,6
"815","Baron",6,5
"816","Barrett",1,7
"817","Barretta",1,8
"818","Barron",1,6
"819","Barrow",1,6
"820","Barry",14,5
"821","Bart",8,4
"822","Bartholemeow",1,12
"823","Bartholomew",1,11
"824","Bartleby",3,8
"825","Bartles",1,7
"826","Bartlet",3,7
"827","Bartley",1,7
"828","Bartok",1,6
"829","Barty",2,5
"830","Bash",1,4
"831","Bashful",1,7
"832","Basie",3,5
"833","Basil",19,5
"834","Basil Mongo Woodard",1,19
"835","Bast",2,4
"836","Bastas",1,6
"837","Bastet",8,6
"838","Bastian",1,7
"839","Bat Kitty",1,9
"840","Bata",1,4
"841","Batboy",1,6
"842","Bateau",1,6
"843","Bates",3,5
"844","Batgirl",1,7
"845","Batgirl Luna",1,12
"846","Batik",1,5
"847","Batista",1,7
"848","Batman",12,6
"849","Batmanuel",1,9
"850","Bats",1,4
"851","Batsy",2,5
"852","Battlecat",1,9
"853","BattleCat",1,9
"854","Battlekatz",1,10
"855","Bauer",3,5
"856","Bauh",1,4
"857","Bava",1,4
"858","Baxter",73,6
"859","Baxter Boast",1,12
"860","Baxter Bones",1,12
"861","Baxter Pepsi",1,12
"862","Baxton",1,6
"863","Bay Lee",1,7
"864","Bayah",1,5
"865","Bayla",2,5
"866","Bayland",1,7
"867","Baylee",3,6
"868","Bayleigh",1,8
"869","Bayley",3,6
"870","Baylie",1,6
"871","Baylor",3,6
"872","Baymax",2,6
"873","Bayou",2,5
"874","Bazely Rane",1,11
"875","Bazi",1,4
"876","Bazil",1,5
"877","Bazique",1,7
"878","Bazzle",1,6
"879","Bb",2,2
"880","BB",2,2
"881","BB (aka Beatrice)",1,17
"882","BB-8",1,4
"883","BC II",1,5
"884","Be-Be",1,5
"885","Bea",15,3
"886","Beacon",2,6
"887","Beady",1,5
"888","Beamer",2,6
"889","Bean",28,4
"890","Bean Broccoli Neff",1,18
"891","Bean Sprout",1,11
"892","Bean Wren",1,9
"893","Beanbag",1,7
"894","Beanie",3,6
"895","Beanie-Boo",1,10
"896","Beans",18,5
"897","Beany",1,5
"898","Bear",109,4
"899","Bear Bear",1,9
"900","Bear-o",1,6
"901","Bearcat",1,7
"902","Bearegard",2,9
"903","Bearnard",1,8
"904","Beary",1,5
"905","Beasley",2,7
"906","Beasley Rue Iverson",1,19
"907","Beast",2,5
"908","Beastie",1,7
"909","Beasty",1,6
"910","Beatle",1,6
"911","Beatrice",13,8
"912","Beatrice Francine Martin",1,24
"913","Beatrix",7,7
"914","Beatriz",1,7
"915","Beau",65,4
"916","Beau Kish",1,9
"917","Beau-II",1,7
"918","Beaujangles",1,11
"919","Beauly",1,6
"920","Beaumont",5,8
"921","Beauregard",2,10
"922","Beauty",4,6
"923","Beaux",3,5
"924","Beaux Dean",1,10
"925","Beazley Bob Schneider",1,21
"926","Bebe",5,4
"927","BeBe",5,4
"928","Bebel",1,5
"929","Bebop",2,5
"930","Bebot",2,5
"931","Beca",1,4
"932","Becca",3,5
"933","Bechamel Vollkommer",1,19
"934","Bechay",1,6
"935","Beck",3,4
"936","Becket",1,6
"937","Beckett",5,7
"938","Beckham",2,7
"939","Beckley",2,7
"940","Becks",1,5
"941","Becky",4,5
"942","Becquerel",1,9
"943","Bee",6,3
"944","Beebe",2,5
"945","Beebee",1,6
"946","Beebo",1,5
"947","Beecher",1,7
"948","BeeDee",1,6
"949","Beedie",1,6
"950","Beef Cake",1,9
"951","Beefcake",1,8
"952","Beefy",3,5
"953","Beeker",1,6
"954","Beemer",2,6
"955","Beemo",2,5
"956","Beenie",1,6
"957","Beep",1,4
"958","Beethoven",4,9
"959","Beetle",2,6
"960","Beetlejuice",1,11
"961","Beets Arugula",1,13
"962","Beeza",1,5
"963","Beezee",1,6
"964","Beezer",1,6
"965","Beezle",1,6
"966","Beezus",1,6
"967","Begbie",1,6
"968","Begonia",1,7
"969","Begum",1,5
"970","Beignet",3,7
"971","Bekam",1,5
"972","Bekham",2,6
"973","Bel",2,3
"974","Bela",6,4
"975","Belarus",1,7
"976","Belikin",1,7
"977","Bell",6,4
"978","Bella",331,5
"979","Bella Bella",1,11
"980","Bella Blue",1,10
"981","Bella Boo",1,9
"982","Bella Cali Roden",1,16
"983","Bella Dirks",1,11
"984","Bella Dora",1,10
"985","Bella Dukes",1,11
"986","Bella Elizabeth",1,15
"987","Bella Gracie Netavis",1,20
"988","Bella Hayes",1,11
"989","Bella Hutchison Neasbitt",1,24
"990","Bella Jean",1,10
"991","Bella Luna",2,10
"992","Bella McCann",1,12
"993","Bella Mia",1,9
"994","BELLA MIA GOLDIE",1,16
"995","Bella Noche",1,11
"996","Bella Notte",2,11
"997","Bella P Jones",1,13
"998","Bella Pham",1,10
"999","Bella Rose",1,10
"1000","Bella Star",1,10
"1001","Bella Wong",1,10
"1002","Bella Yau",1,9
"1003","Bella-Bear",1,10
"1004","Belladona",1,9
"1005","Belladonna",1,10
"1006","Bellamy",1,7
"1007","Bellatrix",4,9
"1008","Belle",51,5
"1009","Bellman",1,7
"1010","Bells",1,5
"1011","Belly",2,5
"1012","Belmont",2,7
"1013","Beluga",1,6
"1014","Belvy",1,5
"1015","Belzer",1,6
"1016","Bema",1,4
"1017","Bemo",2,4
"1018","Bemus",1,5
"1019","Ben",23,3
"1020","Ben Meowflek",1,12
"1021","Bender",3,6
"1022","Benedict",2,8
"1023","Benelli",2,7
"1024","Bengal",1,6
"1025","Bengal Billy",1,12
"1026","Bengala",1,7
"1027","Bengie",1,6
"1028","Beni Redmond",1,12
"1029","Benicio",1,7
"1030","Benio",1,5
"1031","Benita",2,6
"1032","Benito",1,6
"1033","Benjamin",12,8
"1034","Benjamón",1,8
"1035","Benjen",1,6
"1036","Benji",24,5
"1037","Benji the Beast",1,15
"1038","Benjie",1,6
"1039","Benjii",1,6
"1040","Bennet",1,6
"1041","Bennett",4,7
"1042","Benni",2,5
"1043","Bennie",6,6
"1044","Benny",60,5
"1045","Benny Jet",1,9
"1046","Bensen",1,6
"1047","Benson",8,6
"1048","Bente",1,5
"1049","Bentleigh",1,9
"1050","Bentley",68,7
"1051","Bentley 2",1,9
"1052","Bentley Dodger Dog",1,18
"1053","Bentley Halterman",1,17
"1054","Bently",3,6
"1055","Bento",1,5
"1056","Bento Box San",1,13
"1057","Benton",2,6
"1058","Beorn",1,5
"1059","Beowulf aka ""Bae""",1,17
"1060","Beren",1,5
"1061","Berg",1,4
"1062","Bergamo",1,7
"1063","Bergamot",1,8
"1064","Bergen",1,6
"1065","Bergman",1,7
"1066","Berkeley",7,8
"1067","BERKELEY",1,8
"1068","Berkley",2,7
"1069","Berlin",1,6
"1070","Berlina",1,7
"1071","Berlioz",2,7
"1072","Bernadette",1,10
"1073","Bernard",5,7
"1074","Bernardo",2,8
"1075","Bernice",2,7
"1076","Bernie",16,6
"1077","Bernie Barry-Locke",1,18
"1078","Bernie Mac",1,10
"1079","Berr",1,4
"1080","Berra",1,5
"1081","Berries",1,7
"1082","Berry",6,5
"1083","Bert",8,4
"1084","Bertie",8,6
"1085","Bertie Blue",1,11
"1086","Beryl",2,5
"1087","Besito",1,6
